#FASTQ	SAMPLEID	DATASET	url
ERR188227_2.fastq.gz	NA12874	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188227/ERR188227_2.fastq.gz
ERR188228_1.fastq.gz	NA12829	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188228/ERR188228_1.fastq.gz
ERR188228_2.fastq.gz	NA12829	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188228/ERR188228_2.fastq.gz
ERR188229_1.fastq.gz	NA12044	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188229/ERR188229_1.fastq.gz
ERR188229_2.fastq.gz	NA12044	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188229/ERR188229_2.fastq.gz
ERR188235_1.fastq.gz	NA11930	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188235/ERR188235_1.fastq.gz
ERR188235_2.fastq.gz	NA11930	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188235/ERR188235_2.fastq.gz
ERR188244_1.fastq.gz	NA12718	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188244/ERR188244_1.fastq.gz
ERR188244_2.fastq.gz	NA12718	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188244/ERR188244_2.fastq.gz
ERR188246_1.fastq.gz	NA11840	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188246/ERR188246_1.fastq.gz
ERR188246_2.fastq.gz	NA11840	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188246/ERR188246_2.fastq.gz
ERR188256_1.fastq.gz	NA12777	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188256/ERR188256_1.fastq.gz
ERR188256_2.fastq.gz	NA12777	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188256/ERR188256_2.fastq.gz
ERR188262_1.fastq.gz	NA12283	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188262/ERR188262_1.fastq.gz
ERR188262_2.fastq.gz	NA12283	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188262/ERR188262_2.fastq.gz
ERR188272_1.fastq.gz	NA11881	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188272/ERR188272_1.fastq.gz
ERR188272_2.fastq.gz	NA11881	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188272/ERR188272_2.fastq.gz
ERR188277_1.fastq.gz	NA12340	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188277/ERR188277_1.fastq.gz
ERR188277_2.fastq.gz	NA12340	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188277/ERR188277_2.fastq.gz
ERR188279_1.fastq.gz	NA12776	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188279/ERR188279_1.fastq.gz
ERR188279_2.fastq.gz	NA12776	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188279/ERR188279_2.fastq.gz
ERR188291_1.fastq.gz	NA12813	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188291/ERR188291_1.fastq.gz
ERR188291_2.fastq.gz	NA12813	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188291/ERR188291_2.fastq.gz
ERR188301_1.fastq.gz	NA11994	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188301/ERR188301_1.fastq.gz
ERR188301_2.fastq.gz	NA11994	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188301/ERR188301_2.fastq.gz
ERR188308_1.fastq.gz	NA12760	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188308/ERR188308_1.fastq.gz
ERR188308_2.fastq.gz	NA12760	CEPH	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188308/ERR188308_2.fastq.gz
