#FASTQ	SAMPLEID	DATASET	url
ERR188174_1.fastq.gz	NA19198	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188174/ERR188174_1.fastq.gz
ERR188174_2.fastq.gz	NA19198	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188174/ERR188174_2.fastq.gz
ERR188178_1.fastq.gz	NA19114	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188178/ERR188178_1.fastq.gz
ERR188178_2.fastq.gz	NA19114	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188178/ERR188178_2.fastq.gz
ERR188182_1.fastq.gz	NA18912	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188182/ERR188182_1.fastq.gz
ERR188182_2.fastq.gz	NA18912	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188182/ERR188182_2.fastq.gz
ERR188183_1.fastq.gz	NA19185	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188183/ERR188183_1.fastq.gz
ERR188183_2.fastq.gz	NA19185	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188183/ERR188183_2.fastq.gz
ERR188184_1.fastq.gz	NA19147	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188184/ERR188184_1.fastq.gz
ERR188184_2.fastq.gz	NA19147	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188184/ERR188184_2.fastq.gz
ERR188188_1.fastq.gz	NA19099	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188188/ERR188188_1.fastq.gz
ERR188188_2.fastq.gz	NA19099	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188188/ERR188188_2.fastq.gz
ERR188193_1.fastq.gz	NA19141	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188193/ERR188193_1.fastq.gz
ERR188193_2.fastq.gz	NA19141	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188193/ERR188193_2.fastq.gz
ERR188200_1.fastq.gz	NA18519	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188200/ERR188200_1.fastq.gz
ERR188200_2.fastq.gz	NA18519	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188200/ERR188200_2.fastq.gz
ERR188207_1.fastq.gz	NA19222	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188207/ERR188207_1.fastq.gz
ERR188207_2.fastq.gz	NA19222	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188207/ERR188207_2.fastq.gz
ERR188209_1.fastq.gz	NA19214	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188209/ERR188209_1.fastq.gz
ERR188209_2.fastq.gz	NA19214	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188209/ERR188209_2.fastq.gz
ERR188211_1.fastq.gz	NA19175	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188211/ERR188211_1.fastq.gz
ERR188211_2.fastq.gz	NA19175	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188211/ERR188211_2.fastq.gz
ERR188214_1.fastq.gz	NA18486	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188214/ERR188214_1.fastq.gz
ERR188214_2.fastq.gz	NA18486	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188214/ERR188214_2.fastq.gz
ERR188221_1.fastq.gz	NA19113	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188221/ERR188221_1.fastq.gz
ERR188221_2.fastq.gz	NA19113	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188221/ERR188221_2.fastq.gz
ERR188223_1.fastq.gz	NA18908	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188223/ERR188223_1.fastq.gz
ERR188223_2.fastq.gz	NA18908	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188223/ERR188223_2.fastq.gz
ERR188225_1.fastq.gz	NA19152	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188225/ERR188225_1.fastq.gz
ERR188225_2.fastq.gz	NA19152	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188225/ERR188225_2.fastq.gz
ERR188232_1.fastq.gz	NA19160	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188232/ERR188232_1.fastq.gz
ERR188232_2.fastq.gz	NA19160	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188232/ERR188232_2.fastq.gz
ERR188234_1.fastq.gz	NA19116	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188234/ERR188234_1.fastq.gz
ERR188234_2.fastq.gz	NA19116	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188234/ERR188234_2.fastq.gz
ERR188243_1.fastq.gz	NA19098	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188243/ERR188243_1.fastq.gz
ERR188243_2.fastq.gz	NA19098	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188243/ERR188243_2.fastq.gz
ERR188261_1.fastq.gz	NA19108	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188261/ERR188261_1.fastq.gz
ERR188261_2.fastq.gz	NA19108	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188261/ERR188261_2.fastq.gz
ERR188268_1.fastq.gz	NA19095	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188268/ERR188268_1.fastq.gz
ERR188268_2.fastq.gz	NA19095	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188268/ERR188268_2.fastq.gz
ERR188269_1.fastq.gz	NA18916	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188269/ERR188269_1.fastq.gz
ERR188269_2.fastq.gz	NA18916	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188269/ERR188269_2.fastq.gz
ERR188273_1.fastq.gz	NA18505	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188273/ERR188273_1.fastq.gz
ERR188273_2.fastq.gz	NA18505	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188273/ERR188273_2.fastq.gz
ERR188275_1.fastq.gz	NA19201	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188275/ERR188275_1.fastq.gz
ERR188275_2.fastq.gz	NA19201	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188275/ERR188275_2.fastq.gz
ERR188278_1.fastq.gz	NA18861	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188278/ERR188278_1.fastq.gz
ERR188278_2.fastq.gz	NA18861	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188278/ERR188278_2.fastq.gz
ERR188283_1.fastq.gz	NA18907	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188283/ERR188283_1.fastq.gz
ERR188283_2.fastq.gz	NA18907	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188283/ERR188283_2.fastq.gz
ERR188284_1.fastq.gz	NA19223	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188284/ERR188284_1.fastq.gz
ERR188284_2.fastq.gz	NA19223	YRI	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188284/ERR188284_2.fastq.gz
